varsta,sursa_de_apa,alimente_procesate,peste_sau_fructe_de_mare,recipiente_de_plastic,haine_sintetice,tipul_zonei,mediul_de_lucru,ore_petrecute_in_interior,tipul_de_sare,fumatul,cosmetice,mg_total
39,Tap_water,3 times a week,0,Never,83,Industrial,Office,7,Regular salt,Yes,Every day,41.730500000000006
38,Filtred_water,3 times a week,12,5 times a week,7,Industrial,Factory/Industrial,4,Sea salt,No,3 times a week,50.94000000000001
20,Bottled_water,Never,9,Every day,28,Industrial,Home,18,Regular salt,No,Once a week,75.425
54,Tap_water,Never,14,Once a week,84,Urban,Outdoors,13,Sea salt,No,5 times a week,37.477000000000004
40,Tap_water,3 times a week,2,5 times a week,83,Urban,Outdoors,11,Sea salt,Yes,Never,49.472
49,Tap_water,Never,11,5 times a week,23,Urban,Office,4,Sea salt,No,Once a week,27.8205
29,Filtred_water,Never,6,Never,79,Rural,Home,10,Sea salt,No,3 times a week,30.170499999999997
35,Tap_water,Once a week,12,5 times a week,79,Urban,Home,5,Regular salt,Yes,Every day,48.44600000000001
42,Tap_water,Once a week,4,5 times a week,45,Urban,Factory/Industrial,0,Regular salt,Occasionally,Never,32.7145
65,Filtred_water,Never,3,5 times a week,81,Rural,Office,9,Regular salt,No,5 times a week,44.36900000000001
69,Tap_water,3 times a week,7,Every day,42,Urban,Home,17,Sea salt,No,3 times a week,64.356
35,Tap_water,3 times a week,6,Once a week,72,Urban,Factory/Industrial,8,Regular salt,Occasionally,Every day,47.99850000000001
42,Bottled_water,3 times a week,7,5 times a week,10,Rural,Outdoors,11,Regular salt,No,Once a week,64.83200000000001
78,Filtred_water,5 times a week,11,Every day,8,Urban,Factory/Industrial,17,Regular salt,No,Once a week,77.358
58,Bottled_water,Every day,5,Once a week,29,Industrial,Office,4,Sea salt,No,3 times a week,79.215
41,Tap_water,Every day,7,Never,17,Rural,Office,18,Sea salt,Yes,5 times a week,67.1995
57,Tap_water,3 times a week,1,Every day,51,Rural,Factory/Industrial,15,Regular salt,Occasionally,3 times a week,67.184
34,Tap_water,3 times a week,10,Every day,60,Industrial,Factory/Industrial,17,Sea salt,No,Once a week,70.9925
24,Filtred_water,Once a week,10,5 times a week,32,Industrial,Home,8,Regular salt,Occasionally,Never,40.827000000000005
45,Tap_water,Never,8,Never,39,Urban,Home,16,Sea salt,Occasionally,5 times a week,30.3125
51,Filtred_water,Once a week,3,5 times a week,87,Rural,Home,3,Sea salt,No,3 times a week,41.18500000000001
69,Filtred_water,Never,11,Every day,11,Industrial,Outdoors,10,Sea salt,Yes,5 times a week,59.07200000000001
21,Filtred_water,Once a week,10,3 times a week,93,Industrial,Factory/Industrial,1,Regular salt,Yes,Never,43.540500000000016
38,Bottled_water,3 times a week,13,5 times a week,84,Rural,Factory/Industrial,12,Sea salt,Yes,Every day,89.91350000000001
40,Filtred_water,5 times a week,12,5 times a week,78,Industrial,Office,18,Regular salt,No,Once a week,69.08200000000001
62,Tap_water,3 times a week,12,5 times a week,49,Rural,Home,22,Regular salt,Yes,Every day,65.0525
72,Filtred_water,5 times a week,5,Every day,24,Urban,Outdoors,8,Sea salt,Occasionally,Every day,74.51950000000001
35,Filtred_water,Every day,9,Once a week,34,Rural,Home,3,Regular salt,Yes,3 times a week,63.12500000000001
59,Tap_water,3 times a week,6,Every day,76,Urban,Home,8,Regular salt,Occasionally,Never,57.968500000000006
52,Bottled_water,5 times a week,13,Never,42,Urban,Office,4,Sea salt,Occasionally,Every day,67.70750000000001
43,Tap_water,Every day,10,Never,48,Industrial,Outdoors,5,Regular salt,Occasionally,Never,55.846500000000006
72,Filtred_water,Once a week,7,Once a week,5,Rural,Outdoors,12,Regular salt,Yes,Every day,39.6065
52,Bottled_water,Every day,8,Once a week,52,Urban,Factory/Industrial,10,Sea salt,Occasionally,Never,88.33549999999998
51,Filtred_water,5 times a week,11,Every day,27,Industrial,Outdoors,14,Regular salt,No,3 times a week,76.574
42,Bottled_water,Once a week,10,Every day,95,Rural,Office,3,Regular salt,Yes,Never,75.294
60,Tap_water,3 times a week,10,Every day,53,Rural,Factory/Industrial,2,Regular salt,No,Never,55.8645
25,Tap_water,Once a week,4,3 times a week,13,Urban,Outdoors,21,Sea salt,Yes,3 times a week,41.849000000000004
57,Bottled_water,Never,14,Once a week,57,Industrial,Home,10,Sea salt,Occasionally,5 times a week,56.828
48,Tap_water,Never,2,Every day,54,Urban,Home,0,Regular salt,No,Every day,44.813500000000005
42,Filtred_water,3 times a week,5,Never,36,Rural,Factory/Industrial,13,Sea salt,Occasionally,Every day,49.751000000000005
30,Bottled_water,3 times a week,7,Every day,86,Industrial,Office,16,Sea salt,Yes,Every day,100.90100000000001
63,Bottled_water,Once a week,1,3 times a week,77,Rural,Home,7,Regular salt,Yes,Never,54.647
21,Tap_water,Once a week,12,Never,80,Rural,Office,11,Sea salt,Occasionally,Never,29.381000000000004
70,Tap_water,Once a week,7,Never,89,Rural,Factory/Industrial,1,Regular salt,No,3 times a week,28.214000000000002
64,Tap_water,Never,3,5 times a week,86,Rural,Outdoors,17,Sea salt,Yes,3 times a week,46.98700000000001
57,Filtred_water,Never,6,Never,39,Rural,Factory/Industrial,2,Sea salt,Occasionally,Never,22.339499999999997
42,Filtred_water,Every day,6,Once a week,15,Industrial,Outdoors,16,Sea salt,Yes,Every day,77.763
25,Filtred_water,3 times a week,9,Every day,18,Urban,Outdoors,23,Sea salt,Occasionally,Once a week,72.08099999999999
71,Bottled_water,5 times a week,7,Never,56,Urban,Office,5,Regular salt,Occasionally,5 times a week,65.238
43,Filtred_water,Once a week,0,Once a week,16,Industrial,Home,0,Regular salt,Yes,Never,20.815999999999995
36,Filtred_water,Never,11,5 times a week,60,Urban,Factory/Industrial,4,Sea salt,Yes,Every day,52.0215
43,Bottled_water,Every day,11,Once a week,65,Rural,Home,0,Sea salt,Yes,Never,79.24549999999999
34,Tap_water,Every day,4,Never,82,Rural,Outdoors,2,Sea salt,Occasionally,Once a week,54.5165
42,Bottled_water,5 times a week,5,Once a week,28,Rural,Office,0,Sea salt,Occasionally,Never,53.5535
73,Tap_water,Every day,6,Once a week,78,Rural,Factory/Industrial,14,Sea salt,Yes,Every day,79.9545
72,Tap_water,Never,14,Never,76,Urban,Home,18,Sea salt,Occasionally,Once a week,32.88549999999999
68,Filtred_water,Once a week,4,5 times a week,88,Urban,Office,0,Regular salt,No,5 times a week,42.786500000000004
64,Tap_water,Every day,10,5 times a week,61,Rural,Factory/Industrial,6,Regular salt,Yes,Once a week,76.4105
68,Tap_water,5 times a week,14,Never,23,Urban,Outdoors,11,Regular salt,Yes,5 times a week,48.10800000000001
69,Bottled_water,Never,4,Once a week,99,Industrial,Office,12,Sea salt,Occasionally,Once a week,54.462
18,Tap_water,Once a week,14,Every day,40,Urban,Office,1,Regular salt,Occasionally,Every day,53.592
42,Tap_water,5 times a week,12,Once a week,63,Urban,Home,3,Sea salt,Yes,5 times a week,46.92500000000001
61,Filtred_water,5 times a week,4,Every day,22,Industrial,Factory/Industrial,10,Sea salt,Occasionally,Every day,80.554
72,Bottled_water,3 times a week,8,Every day,30,Urban,Factory/Industrial,15,Sea salt,Occasionally,Never,87.79999999999998
33,Filtred_water,5 times a week,8,5 times a week,93,Industrial,Office,4,Regular salt,No,Every day,65.94300000000001
54,Filtred_water,Never,4,Once a week,16,Rural,Office,16,Sea salt,Occasionally,3 times a week,31.5495
37,Filtred_water,Once a week,10,Once a week,58,Urban,Office,10,Regular salt,Yes,Never,35.79550000000001
71,Bottled_water,5 times a week,5,3 times a week,20,Rural,Office,3,Regular salt,No,Every day,67.85
24,Filtred_water,Every day,12,Once a week,97,Urban,Factory/Industrial,1,Sea salt,Occasionally,5 times a week,75.61299999999999
55,Filtred_water,5 times a week,8,Every day,32,Rural,Outdoors,8,Sea salt,No,Never,66.0285
41,Tap_water,5 times a week,13,3 times a week,68,Urban,Office,4,Sea salt,No,3 times a week,48.724500000000006
32,Filtred_water,5 times a week,0,Once a week,69,Industrial,Factory/Industrial,21,Regular salt,Yes,Every day,70.83050000000001
24,Tap_water,Never,14,3 times a week,76,Urban,Factory/Industrial,15,Sea salt,Occasionally,5 times a week,48.48800000000001
43,Tap_water,3 times a week,6,Never,70,Industrial,Office,5,Regular salt,Occasionally,Every day,39.204499999999996
51,Tap_water,3 times a week,6,3 times a week,16,Industrial,Outdoors,13,Regular salt,Yes,5 times a week,47.57950000000001
30,Tap_water,Every day,9,Every day,49,Urban,Outdoors,0,Regular salt,Occasionally,5 times a week,82.93549999999998
51,Filtred_water,Once a week,5,Once a week,91,Urban,Office,11,Sea salt,No,5 times a week,41.50600000000001
37,Tap_water,Once a week,12,Every day,54,Industrial,Factory/Industrial,22,Sea salt,No,Once a week,67.64900000000002
49,Bottled_water,Never,10,Once a week,46,Rural,Factory/Industrial,11,Regular salt,Yes,Never,54.035000000000004
47,Tap_water,Once a week,1,Once a week,53,Urban,Outdoors,5,Regular salt,No,Once a week,22.025000000000002
62,Tap_water,Once a week,14,Every day,94,Industrial,Office,22,Sea salt,Yes,3 times a week,73.208
20,Bottled_water,Never,3,3 times a week,39,Rural,Factory/Industrial,15,Regular salt,Occasionally,Once a week,58.44799999999999
22,Tap_water,5 times a week,14,Never,45,Industrial,Factory/Industrial,10,Regular salt,Occasionally,Once a week,47.886
37,Tap_water,Every day,8,Never,92,Rural,Home,3,Regular salt,Yes,Once a week,58.497
59,Filtred_water,Once a week,2,3 times a week,55,Industrial,Home,23,Regular salt,Occasionally,3 times a week,50.348499999999994
76,Tap_water,Once a week,9,Never,27,Rural,Outdoors,1,Regular salt,Yes,Once a week,18.903000000000002
35,Filtred_water,5 times a week,4,5 times a week,96,Urban,Home,15,Sea salt,Yes,Never,66.00300000000001
20,Tap_water,Once a week,1,3 times a week,4,Industrial,Office,8,Sea salt,Occasionally,Once a week,25.863999999999997
68,Bottled_water,Once a week,2,3 times a week,93,Urban,Outdoors,15,Sea salt,No,Never,61.57800000000001
48,Bottled_water,Every day,0,Every day,27,Rural,Outdoors,20,Regular salt,Yes,Never,111.10249999999999
18,Tap_water,Every day,14,3 times a week,91,Industrial,Office,9,Regular salt,Yes,5 times a week,79.9755
62,Bottled_water,5 times a week,12,Once a week,75,Urban,Home,1,Regular salt,Yes,5 times a week,70.028
49,Bottled_water,Never,12,3 times a week,72,Rural,Factory/Industrial,9,Regular salt,No,Never,58.214
62,Bottled_water,3 times a week,13,3 times a week,45,Urban,Outdoors,4,Regular salt,No,5 times a week,65.6665
63,Bottled_water,Never,3,Every day,51,Industrial,Home,11,Sea salt,Yes,3 times a week,75.69550000000001
38,Filtred_water,Once a week,14,5 times a week,78,Industrial,Office,0,Regular salt,Occasionally,Once a week,42.548
65,Filtred_water,5 times a week,5,Never,75,Rural,Factory/Industrial,12,Sea salt,No,Never,50.4895
23,Bottled_water,5 times a week,9,Every day,81,Industrial,Factory/Industrial,9,Regular salt,Occasionally,Once a week,98.4435
37,Bottled_water,5 times a week,3,Never,81,Rural,Factory/Industrial,8,Sea salt,Yes,5 times a week,74.67949999999999
68,Bottled_water,3 times a week,4,5 times a week,27,Urban,Office,8,Sea salt,Occasionally,5 times a week,69.1615
66,Tap_water,Once a week,1,Once a week,38,Rural,Office,8,Regular salt,Occasionally,Never,21.297499999999996
46,Bottled_water,Every day,4,3 times a week,84,Industrial,Outdoors,8,Sea salt,Yes,Never,92.74300000000001
38,Filtred_water,5 times a week,13,Never,9,Rural,Office,21,Regular salt,Yes,Never,51.599000000000004
48,Tap_water,5 times a week,1,Never,90,Rural,Factory/Industrial,8,Sea salt,No,3 times a week,46.0715
43,Tap_water,5 times a week,13,Once a week,16,Urban,Outdoors,19,Sea salt,No,5 times a week,52.84
69,Tap_water,Once a week,6,3 times a week,31,Industrial,Outdoors,5,Sea salt,Occasionally,3 times a week,31.418499999999998
48,Bottled_water,Every day,4,3 times a week,16,Urban,Outdoors,2,Regular salt,Occasionally,3 times a week,81.92049999999999
77,Bottled_water,3 times a week,10,5 times a week,81,Rural,Home,4,Sea salt,Yes,Once a week,69.7795
36,Tap_water,3 times a week,7,Never,43,Industrial,Outdoors,10,Regular salt,No,5 times a week,37.732
68,Bottled_water,5 times a week,8,3 times a week,73,Rural,Factory/Industrial,17,Sea salt,Yes,5 times a week,90.36599999999999
58,Bottled_water,5 times a week,0,Once a week,25,Urban,Factory/Industrial,2,Regular salt,Yes,Once a week,61.34450000000001
19,Filtred_water,Every day,7,Every day,95,Rural,Outdoors,2,Sea salt,Yes,Never,88.73749999999998
54,Tap_water,Every day,12,5 times a week,20,Rural,Office,2,Sea salt,Occasionally,5 times a week,68.24249999999999
30,Filtred_water,3 times a week,9,3 times a week,31,Urban,Home,18,Sea salt,No,Every day,56.698499999999996
69,Bottled_water,5 times a week,5,3 times a week,89,Urban,Factory/Industrial,0,Regular salt,No,5 times a week,75.55949999999999
36,Filtred_water,Once a week,9,Every day,86,Industrial,Outdoors,14,Sea salt,Yes,Every day,75.34600000000002
42,Tap_water,Never,3,5 times a week,99,Rural,Office,13,Regular salt,Yes,Never,40.787000000000006
29,Bottled_water,5 times a week,10,Every day,30,Rural,Home,11,Regular salt,Yes,3 times a week,92.605
76,Bottled_water,5 times a week,14,Never,16,Urban,Factory/Industrial,18,Sea salt,No,Never,71.0125
40,Tap_water,5 times a week,4,Never,79,Industrial,Outdoors,9,Sea salt,Occasionally,Once a week,43.0125
46,Filtred_water,3 times a week,11,3 times a week,25,Rural,Factory/Industrial,8,Regular salt,Yes,Every day,56.5715
40,Filtred_water,Once a week,13,Every day,30,Urban,Factory/Industrial,8,Regular salt,No,Never,57.6675
75,Filtred_water,5 times a week,12,Never,73,Industrial,Office,0,Sea salt,Occasionally,Every day,50.36
24,Filtred_water,Once a week,7,5 times a week,7,Industrial,Factory/Industrial,2,Sea salt,No,Every day,45.29900000000001
61,Bottled_water,Never,10,Never,99,Urban,Factory/Industrial,21,Regular salt,No,5 times a week,68.516
67,Filtred_water,3 times a week,11,Once a week,65,Industrial,Office,1,Regular salt,No,Every day,44.1435
64,Filtred_water,Never,1,Never,51,Industrial,Outdoors,10,Sea salt,Occasionally,Never,25.526999999999997
29,Bottled_water,5 times a week,5,5 times a week,77,Industrial,Office,21,Regular salt,Occasionally,Every day,95.51250000000002
